Bus Stop Number,Latitude Position,Longitude Position,Bus Stop Name
25421,1.341642012,103.6375813,Opp Raffles Marina
25429,1.342130008,103.637442,Raffles Marina
25431,1.338976449,103.6365874,Super Continental
25439,1.339125254,103.6364265,Opp Super Continental
25441,1.334832118,103.6351235,Kasei Optonix Asia
25449,1.33559255,103.6348856,Opp Kasei Optonix Asia
25451,1.3322833,103.6341031,Opp Schering-Plough
25459,1.3328,103.6341217,Schering-Plough
25461,1.329448265,103.6329188,Aft Tuas West Ave
25469,1.329294722,103.6326458,Bef Tuas West Ave
25471,1.335523534,103.6418412,Opp S'pore Epson Ind
25479,1.335528056,103.6416297,S'pore Epson Ind
25491,1.339010336,103.6381665,Opp Super Continental
25499,1.338749722,103.6382378,Super Continental
25501,1.333790554,103.6436359,Wee Wee Hup Kee
25509,1.333559305,103.6436494,Opp Wee Wee Hup Kee
25511,1.329815,103.6408047,CHC Express
25519,1.329814516,103.6409965,Opp CHC Express
26011,1.319229656,103.6487671,Bef Tuas Ave 11
26021,1.317261394,103.6469309,Jaya Shipbuilding & Engrg
26031,1.315482572,103.6452468,Hiap Seng Engrg Ltd
26049,1.314865764,103.6427515,Pan United Shipping
26059,1.316727778,103.6408389,Drydocks World
26069,1.318502778,103.6389756,Aft Tuas Ave 16
26079,1.320606111,103.6367553,Sumpiles Investment
26089,1.322151716,103.6351002,Bef Tuas Ave 20
26099,1.324642494,103.6359969,Bef Tuas Ave 13
26109,1.327277428,103.6384905,Bef Tuas Ave 11
26111,1.314643056,103.6542583,Aft Grinnel
26119,1.314939722,103.6538231,Opp Grinnel
26121,1.317368402,103.6513642,Opp Chuan Hua
26129,1.317642778,103.6509581,Chuan Hua
26131,1.319022778,103.6497,Aft Tuas Cres
26141,1.326686247,103.6402559,Smarty
26151,1.324529988,103.6425227,Opp Hempel
26161,1.322383257,103.6448005,Metalplas Engrg
26171,1.3201325,103.6471214,Richee Engrg
26201,1.326952915,103.6319295,ISK S'pore
26209,1.32692,103.6317533,Opp ISK S'pore
26211,1.290966108,103.6368387,Tuas Power Stn
26221,1.293249778,103.6370023,Opp YLS Steel
26241,1.320511398,103.6308499,LTH Distripark
26249,1.320473708,103.6312183,Bef Tuas Sth Ave 2
26251,1.317447843,103.6297268,Bef Tuas Sth Ave 2
26259,1.317516394,103.6301108,Aft Tuas Sth Ave 2
26261,1.314709069,103.6287122,Sin Lian Heng Const
26269,1.314358333,103.628955,Opp Sin Lian Heng Const
26279,1.311334252,103.6278419,Aft Tuas Sth Ave 4
26289,1.308545754,103.6268207,Opp JVC Asia
26299,1.305109544,103.6255635,Bef Tuas Sth Ave 6
26311,1.302288265,103.6297812,Aft Tuas Sth Ave 6
26321,1.306039533,103.6311689,Bet Jacuzzi/Winmac
26331,1.308699576,103.6321343,RS Components
26349,1.311939692,103.6299385,Tuas Technology Pk
26369,1.298469994,103.6230858,See Hup Seng
26379,1.293873807,103.6219215,Yong Nam
26389,1.290550809,103.6245338,Multi Alliance
26399,1.28949499,103.6274603,Aft Tuas View Cres
26409,1.289129093,103.6301987,Multico
26419,1.288919373,103.6330196,Sen Hin Chemical
26429,1.2886975,103.6358691,Tuas Power Stn
26431,1.29448159,103.6361912,Aft Blue Circle
26441,1.295689275,103.6329657,Bef Tuas Sth Ave 7
26451,1.296897702,103.6297779,Bef Tuas Sth Ave 5
26461,1.299464722,103.6287678,Heng Huat Ship Bldg & Construction
27011,1.355863346,103.6861094,Blk 55
27021,1.353241389,103.6819292,Hall 15
27031,1.351868157,103.6805175,Hall 12
27041,1.350719362,103.6786425,CP 7
27051,1.348453333,103.6766581,NIE Lib
27061,1.349847221,103.6838708,Opp Blk 41
27069,1.350089722,103.6841844,Blk 41
27091,1.34911,103.703885,Opp Blk 271 CP
27099,1.350236894,103.70361,Blk 271 CP
27101,1.352594722,103.7011164,Westville
27109,1.353094722,103.7008231,Opp Westville
27121,1.356823056,103.6952128,Bef Nanyang Ave
27129,1.357332172,103.6951604,Opp Nanyang Ave
27131,1.34194,103.6885297,Blk 932
27141,1.339704021,103.6876736,Blk 920
27159,1.340337778,103.6900514,Blk 924
27169,1.356931032,103.6942446,Bef Jln Bahar
27171,1.356045651,103.6916825,Bef Lor Danau
27179,1.356184182,103.6917826,Aft Lor Danau
27181,1.355875888,103.6890362,PUB Sub-Stn
27189,1.356072042,103.6890392,Opp PUB Sub-Stn
27199,1.354342168,103.6868575,Hall 11
27209,1.351507017,103.6856923,Hall 8
27211,1.347931407,103.6805007,Lee Wee Nam Lib
27219,1.347932695,103.6802524,Blk 2
27221,1.346231517,103.6785176,Sch Of CEE
27231,1.342079724,103.6792227,Sch Of Comm And Info
27241,1.339987266,103.6808938,Hall 7
27251,1.342283056,103.6837169,Innovation Ctr
27261,1.343833727,103.6868651,Hall 4
27271,1.342033203,103.6913681,Blk 962
27279,1.342140462,103.6912072,Blk 953
27281,1.345655,103.6878056,Hall 1
27291,1.347722674,103.6864993,Opp Hall 6
27301,1.340476644,103.694374,Blk 978
27309,1.341015742,103.6943058,Blk 705
27311,1.349022111,103.6853929,Hall 2
27321,1.344039444,103.6917308,Blk 949
27329,1.3440425,103.691865,Blk 840
27331,1.345373056,103.6994114,West Grove Pr Sch
27341,1.346637034,103.6977882,Blk 729
27349,1.346808056,103.6978181,Blk 745
27351,1.34423201,103.6961317,Blk 715
27359,1.34441435,103.6960137,Blk 817
27361,1.342944904,103.6945224,Blk 710
27369,1.342853733,103.694104,Blk 834
27371,1.347513843,103.7009944,Opp Blk 755
27379,1.348050421,103.7008739,Blk 755
27381,1.34814783,103.6986383,Blk 749
27389,1.348451809,103.6981044,Gek Poh Shop Ctr
27391,1.348427066,103.696312,Blk 857
27399,1.348664698,103.6964037,Blk 859
27401,1.347366006,103.694138,Blk 853
27409,1.34719,103.6941675,Blk 821
27411,1.345908333,103.6927375,Blk 844A CP
27419,1.345754722,103.69282,Blk 828A
27421,1.342834167,103.6953636,Blk 701
27429,1.342865,103.6955581,Blk 711
27431,1.349465273,103.6973463,Blk 762
27439,1.349410778,103.6971171,Blk 861
27441,1.350328688,103.7007933,Bet Blks 757/758
27449,1.350532425,103.701079,Aft Westwood Ave
27451,1.351286137,103.7041506,Bet Blks 272D/271A
27459,1.3514507,103.7039904,Blk 273B
27461,1.352933058,103.7051286,Opp Blk 276B
27469,1.353071922,103.7048671,Blk 276B
27471,1.352166558,103.7078248,Corporation Pr Sch
27479,1.351892343,103.7081826,Opp Corporation Pr Sch
28009,1.333408188,103.7415425,Jurong East Temp Int
28011,1.324258056,103.7591472,Aft ITE West (Clementi)
28019,1.324927205,103.7589433,Aft Toh Tuck Ave
28021,1.326158084,103.7554502,Aft Toh Tuck Ave
28029,1.326889982,103.7543603,Bef Toh Tuck Ave
28031,1.327901,103.751015,Bef The Synergy
28039,1.328075,103.7514083,Aft Boon Lay Sub Stn
28041,1.3300835,103.7482837,The Synergy
28049,1.330699213,103.7481034,Opp The Synergy
28051,1.332289997,103.74574,Aft Jurong East St 11
28059,1.332606389,103.7458072,Bef Toh Guan Rd
28061,1.335963908,103.7425481,Jurong East Stn/Int
28069,1.336442401,103.7425574,Blk 203
28071,1.337650353,103.7390424,Blk 105
28079,1.338399066,103.7386009,Blk 210
28081,1.339508308,103.7366476,Blk 112
28089,1.340163586,103.7363464,Bef Yuhua CC
28091,1.344257956,103.7201249,Lakeside Stn
28099,1.344320099,103.7192983,Opp Lakeside Stn
28101,1.333124368,103.7590562,Opp SMRT Ulu Pandan Depot
28109,1.333533993,103.7593354,SMRT Ulu Pandan Depot
28111,1.347828963,103.7358544,Aft Bt Batok Rd
28119,1.347850605,103.7360553,Bef Bt Batok Rd
28121,1.350320655,103.733396,Opp Track 18
28129,1.350318839,103.7337431,Aft Track 18
28131,1.352785657,103.7305039,Bef Track 22
28139,1.353113025,103.7304425,Aft Track 22
28141,1.353997778,103.7285725,Aft Track 22
28149,1.354059771,103.7291206,Bef Track 22
28151,1.355826007,103.7214746,Bef Hong Kah Circle
28159,1.355987547,103.7213845,Aft Hong Kah Circle
28161,1.356004212,103.7192784,Bef Hong Kah Flyover
28169,1.356162022,103.719496,Aft Hong Kah Flyover
28181,1.329760602,103.7580683,Opp Ulu Pandan R.I. Plant
28189,1.329759444,103.7583264,Ulu Pandan R.I. Plant
28201,1.332057062,103.7418505,Opp The JTC Summit
28211,1.334186773,103.7407068,Opp Blk 135
28221,1.32761805,103.7449417,Opp Intl Business Pk
28229,1.325366752,103.7459319,German Ctr
28231,1.329729951,103.7426924,Jurong Town Hall
28239,1.329804425,103.7430715,Opp Jurong Town Hall
28241,1.331758585,103.7395749,Opp Jurong East Lib
28249,1.332122873,103.7397917,Jurong East Lib
28251,1.333828056,103.7369883,S'pore Science Ctr
28259,1.334154722,103.7369883,Opp S'pore Science Ctr
28261,1.33614237,103.7348988,Aft S'pore Science Ctr
28269,1.336532427,103.7349928,Blk 118
28271,1.338992597,103.7339058,Opp Blk 114
28279,1.339482955,103.7342365,Blk 114
28281,1.342060328,103.7353755,Parc Oasis
28289,1.342389722,103.7359889,Blk 228
28291,1.344460904,103.736383,Blk 303
28299,1.344383231,103.7366703,Blk 253
28301,1.334738999,103.740303,Blk 131
28309,1.326286276,103.7457849,Intl Business Pk
28311,1.338252775,103.7410835,Blk 209
28319,1.338626239,103.7417331,Blk 207
28321,1.341271664,103.7409031,Blk 239
28329,1.341470923,103.7404357,Blk 246
28331,1.342043929,103.7380493,Blk 229
28339,1.342705106,103.7373752,Blk 252
28341,1.342470278,103.7327128,Chinese Gdn Stn
28349,1.342551137,103.7331851,Opp Chinese Gdn Stn
28351,1.343615278,103.7310558,Opp Blk 350
28359,1.343887222,103.7311994,Blk 350
28361,1.344188818,103.7274878,Jurong Lake
28369,1.344497222,103.7274714,Opp Jurong Lake
28371,1.344879722,103.7240919,Bef Jurong West St 51
28379,1.345136399,103.7242613,Aft Jurong West St 51
28381,1.346269671,103.721296,Blk 515
28389,1.3464621,103.7214723,Yuhua Sec Sch
28391,1.349780932,103.7193717,Blk 501
28399,1.349749472,103.7196482,Blk 458
28401,1.350654551,103.718614,Blk 502
28409,1.350811494,103.7179377,Blk 454
28411,1.348054444,103.7176175,Blk 526
28421,1.345915861,103.7193457,Blk 517
28431,1.334496265,103.7388156,Blk 134
28439,1.33451434,103.738575,Blk 124
28441,1.335766389,103.7388492,Seventh-Day Advent Ch
28449,1.336181667,103.739445,Bef Seventh-Day Advent Ch
28451,1.343941891,103.73466,Parc Oasis
28459,1.344407729,103.7343153,Opp Parc Oasis
28461,1.345332403,103.7320538,Blk 347
28469,1.346127173,103.7319331,Blk 316
28471,1.348111456,103.7322464,Opp Blk 311
28481,1.346181391,103.7342159,Blk 306
28491,1.349055961,103.7307863,Opp Jurong Polyclinic
28499,1.349630441,103.730462,Jurong Polyclinic
28501,1.349803284,103.7273777,Blk 490
28509,1.350034709,103.7265401,Blk 422
28511,1.350635965,103.7237236,Blk 463
28519,1.350584168,103.7245249,Blk 425
28521,1.350975481,103.7212004,Blk 457
28529,1.351179213,103.7206511,Blk 441
28531,1.350061155,103.7165294,Blk 536
28539,1.349754774,103.7154239,Blk 538
28541,1.352358056,103.71726,Blk 551
28551,1.353092019,103.71994,Aft Blk 553
28561,1.35318547,103.7223243,Blk 402
28571,1.352420676,103.7254229,Blk 416
28581,1.34925114,103.7257056,Blk 491
28591,1.346456389,103.7253825,Opp Blk 481
28601,1.347337447,103.7231677,Yuhua Sec Sch
28611,1.349277923,103.7210677,Opp Blk 461
28621,1.341543482,103.7435801,Blk 241
28629,1.341953312,103.74425,Blk 266
28631,1.340531577,103.7441862,Opp Blk 288D
28639,1.340456498,103.74396,Blk 288E
28641,1.339178898,103.7461032,Blk 284
28649,1.339013034,103.7460344,Blk 286A
28651,1.33515192,103.7479419,Opp IMM Bldg
28659,1.334461893,103.7476778,IMM Bldg
28661,1.336655228,103.74952,Opp Jurong East Warehse
28669,1.336445,103.749355,Jurong East Warehse
28671,1.3371523,103.7522638,Alliance Bldg
28679,1.336614493,103.7511046,Hitachi Elevator Bldg
28681,1.337202426,103.7548889,Toh Guan Ctr
28689,1.337279344,103.75441,Opp Toh Guan Ctr
28691,1.335652429,103.7574893,Wang-Fu Ind Pte Ltd
28699,1.335668506,103.757235,Opp Uni-Tech Ctr
28701,1.331498333,103.75773,Aft Old Toh Tuck Rd
28709,1.331639972,103.7573441,Bef Old Toh Tuck Rd
29011,1.3085475,103.7336219,Opp Sanmina-SCI
29019,1.30809,103.7337659,Sanmina-SCI
29021,1.312674999,103.7345023,Aft Jln Buroh
29029,1.313669444,103.7349708,Opp Sunlight Timber
29031,1.316531388,103.7353866,S'pore Wood Ind
29039,1.317914723,103.7359015,Opp S'pore Wood Ind
29041,1.306304994,103.7360537,Ban Joo
29049,1.305983213,103.7366867,LTH Logistics
29051,1.304620528,103.7428493,Opp Caltex S'pore
29059,1.304372802,103.742525,Caltex S'pore
29069,1.302969478,103.7460724,Aft Pandan Rd
29071,1.304226652,103.7517938,Gas Svc Intl
29081,1.301778598,103.7528443,Franklin Offshore
29089,1.301467542,103.7527049,Swanson Plastics
29091,1.299418862,103.7525439,Opp Sia Huat
29099,1.299386684,103.7520719,Ct S'pore
29101,1.298560779,103.7499767,PPL Shipyard
29109,1.298749171,103.7496962,Opp PPL Shipyard
29111,1.300025833,103.7468519,Yeo & Son Investment
29119,1.300759621,103.747201,Comfortdelgro Engrg
29121,1.306701858,103.7395513,ECS Freight Svcs
29129,1.306391943,103.7394918,Chin Leong (CLP)
29139,1.302958465,103.7513745,Opp Foh Foh Pte Ltd
29149,1.301692789,103.7484455,Opp LP 4
29159,1.325324898,103.737505,Aft Teban Gdns Cres
30011,1.373677995,103.7142257,Tengah Air Base
30019,1.373333068,103.7136584,Opp Tengah Air Base
30021,1.374441956,103.7170523,Opp Keat Hong Camp
30029,1.374156028,103.7170963,Keat Hong Camp
30031,1.374619354,103.7198387,Opp Army Logistics Base
30039,1.374321622,103.7198188,Army Logistics Base
30041,1.374620141,103.7218882,Opp Home Team Academy
30049,1.374313322,103.7238366,Home Team Academy
30051,1.374555769,103.7253705,Aft Track 14
30059,1.374399352,103.726143,Opp Track 14
30081,1.377276847,103.7343131,Opp Hai Inn See Tp
30089,1.37716,103.7340917,Aft Hai Inn See Tp
30091,1.379430556,103.7308564,Chengtai Nursery
30099,1.379787393,103.7310617,Opp Chengtai Nursery
31009,1.371743745,103.6842656,Choa Chu Kang Rd End
31011,1.359084608,103.6938952,Aft Nanyang Ave
31019,1.359982605,103.6939891,Bef Nanyang Ave
31021,1.36247047,103.6928789,Jln Bahar Power Stn
31029,1.363079872,103.692966,Opp Jln Bahar Power Stn
31031,1.365988907,103.6932732,Civil Defence Academy
31039,1.36563784,103.6933082,Opp Civil Defence Academy
31041,1.368932264,103.6939294,Bef Muslim Cemy Path 7
31049,1.369395544,103.6942437,Aft Chr Cemy Path 9
31051,1.372260022,103.6944518,Bef Muslim Cemy Path 1
31059,1.372075744,103.6946681,Aft Chr Cemy Path 3
31061,1.375947222,103.6955703,Opp Lim Chu Kang Camp II
31069,1.374931389,103.6955061,Bef Old Choa Chu Kang Rd
31071,1.378533142,103.6962605,Aft Chinese Cemy Path 11
31079,1.377686111,103.6963219,Opp Chinese Cemy Path 11
31081,1.380562642,103.6973253,Opp HQ 5th SIB Camp I
31089,1.379927294,103.6971152,HQ 5th SIB Camp I
31121,1.370355319,103.6880039,Opp Chinese Cemy
31129,1.369973934,103.68741,Chinese Cemy
31131,1.37210056,103.6901494,Aft Track 33
31139,1.372112815,103.6903841,Bef Track 33
31141,1.374096307,103.6934219,Bahai Cemy
31149,1.373948547,103.6940083,Opp Bahai Cemy
31151,1.373632274,103.6959675,Aft Lim Chu Kang Rd
31159,1.373366007,103.6961973,Bef Lim Chu Kang Rd
31161,1.372533322,103.7020876,Opp Teen Challenge
31169,1.372450942,103.7012194,Teen Challenge
31171,1.372407883,103.704187,Opp Jln Berseri
31179,1.372344032,103.7035508,Aft Jln Berseri
31191,1.371614444,103.7099108,B26 Old Choa Chu Kang Rd
31199,1.370975581,103.7093154,B25 Old Choa Chu Kang Rd
31201,1.38044982,103.6965941,Aft Chinese Cemy Path 13
31211,1.382839,103.6969997,Aft Muslim Cemy Path 17
32031,1.402702994,103.7007817,Opp Ama Keng Rd
32039,1.402517888,103.7008148,Aft Ama Keng Rd
32041,1.404361044,103.7016616,Opp LP 160
32049,1.404522544,103.7018703,Aft LP 161
32051,1.409293655,103.7009794,Aft Track 11
32059,1.409031408,103.7012078,Opp Track 11
32061,1.411463076,103.70006,Opp LP 173
32069,1.411032579,103.7003812,B26 Lim Chu Kang Rd
32071,1.416024604,103.7005678,Aft Track 13
32079,1.415128277,103.7002682,Opp Track 13
32081,1.417446316,103.7012036,Sg Gedong Camp
32089,1.416818912,103.7010851,Aft Sg Gedong Camp
32101,1.38541383,103.6974447,Aft Murai Farmway
32109,1.38571767,103.6977027,Bef Lor Serambi
32111,1.398372,103.6996458,Aft LP 93
32119,1.39858,103.6998827,Aft LP 96
33011,1.419591086,103.7022296,B19 Lim Chu Kang Rd
33019,1.419201592,103.7021566,B20 Lim Chu Kang Rd
33021,1.421790125,103.7032446,Opp Neo Tiew Rd
33029,1.420803148,103.7029219,Aft Neo Tiew Rd
33031,1.423979583,103.7042257,Aft Jln Bahtera
33039,1.423295992,103.7040803,Opp Jln Bahtera
33041,1.427619116,103.7059434,Opp Lim Chu Kang Lane 3
33049,1.426217435,103.705438,Aft Lim Chu Kang Lane 3
33051,1.430249373,103.7068344,Bef Lim Chu Kang Lane 3A
33059,1.429359911,103.7066297,Aft Lim Chu Kang Lane 3A
34009,1.444826561,103.7075673,Police Coast Guard
34011,1.433181996,103.7078232,Opp Lim Chu Kang Lane 4
34019,1.432534167,103.7077381,Aft Lim Chu Kang Lane 4
34021,1.435186498,103.7080476,Opp Lim Chu Kang Lane 5
34029,1.434971944,103.7081833,Bef Lim Chu Kang Lane 5
34031,1.437666053,103.7079565,Aft Lim Chu Kang Lane 6
34039,1.436591703,103.7081175,Bef Lim Chu Kang Lane 6
34041,1.438865086,103.7079067,B03 Lim Chu Kang Rd
34049,1.438374062,103.7080241,Aft Lim Chu Kang Lane 8
34051,1.442755586,103.7077541,Aft Lim Chu Kang Lane 8
34059,1.442343388,103.707869,Yishun Dairy Farm
34101,1.38440683,103.6979038,Aft Old Lim Chu Kang Rd
34109,1.38430083,103.6981122,Aft Lim Chu Kang Rd
40011,1.306064115,103.8490875,Little India Stn
40019,1.306644045,103.8492042,Little India Stn
40021,1.311035833,103.8428175,Aft POSBank
40029,1.311423056,103.84266,Shell Kiosk
40031,1.312053077,103.8402965,Newton FC
40039,1.312303056,103.8407256,Opp Newton FC
40041,1.313722231,103.8380974,Aft Newton Circus
40049,1.314023056,103.8388464,Bef Newton Circus
40051,1.31652526,103.8357079,Balmoral Plaza
40059,1.316621389,103.8363436,Chancery Ct
40069,1.318303989,103.8343513,Anglo-Chinese Sch
40071,1.319180278,103.8292136,Leng Kwang Baptist Ch
40079,1.319721642,103.8299146,Chinese Intl Sch
40081,1.320129519,103.8260526,Opp SCGS
40089,1.320516371,103.8273796,SCGS
40091,1.321018073,103.8235094,Bef Lewis Rd
40099,1.321852352,103.8234401,Aft Dunkirk Ave
40101,1.310361867,103.8477915,KK Women & Child Hosp
40109,1.309491313,103.8477075,Opp KK Women & Child Hosp
40111,1.318065,103.8326256,City Twrs
40119,1.318897343,103.8324952,Bef Goldhill Ave
40121,1.314581649,103.8405319,Opp Newton Life Ch
40129,1.314537793,103.8408285,Newton Life Ch
40171,1.31095172,103.835821,Opp Env Bldg
40179,1.31133174,103.8368695,Env Bldg
40181,1.312435612,103.8379834,Newton Stn
40189,1.312231813,103.838161,Newton Stn
40191,1.312685556,103.8304269,Raffles Girls' Sch
40199,1.312583333,103.8319122,Opp Raffles Girls' Sch
40201,1.313589722,103.8274306,Chelsea Gdn Condo
40209,1.313888056,103.8273878,The Pines
40211,1.316553316,103.825863,Opp Met YMCA
40219,1.31703698,103.8260595,Bef Met YMCA
40221,1.319025313,103.8254556,Opp Stevens Ct
40229,1.31933338,103.8257011,Stevens Ct
40231,1.32214807,103.8256882,Raffles Town Club
40239,1.32255443,103.8262019,Aft Tanglin CC
40249,1.324924722,103.8273506,St. Joseph's Inst
40251,1.34054276,103.8223113,Aft Wallace Way
40259,1.340312507,103.8225628,Bef Wallace Way
40261,1.341303842,103.8270664,LP 52
40269,1.341056389,103.8266081,LP 57
40271,1.308806649,103.8463465,Opp KK Women & Child Hosp
40279,1.309819257,103.8460393,KK Women & Child Hosp
41011,1.322356111,103.8189167,NUS
41019,1.322674441,103.8202523,Aft Kheam Hock Rd
41021,1.32265,103.81554,Botanic Gdns Stn
41029,1.323333319,103.8163057,Opp Botanic Gdns Stn
41031,1.323068358,103.8119772,Bef Crown Ctr
41041,1.323984722,103.8102992,Coronation Plaza
41049,1.324695,103.8102625,Opp Coronation Plaza
41051,1.326125,103.8071533,Hwa Chong JC
41061,1.327053333,103.8057247,Chinese High Sch
41069,1.326527778,103.8075858,Opp Chinese High Sch
41071,1.328988333,103.8026628,Opp Natl JC
41079,1.329403056,103.8030478,Natl JC
41081,1.330486389,103.7983358,Aft Third Ave
41089,1.330449211,103.7999332,Aft Jln Naga Sari
41101,1.31908139,103.8092173,St. Margaret's Sec Sch
41109,1.319446667,103.8105286,Opp St. Margaret's Sec Sch
41111,1.320811702,103.8118514,Lutheran Twrs
41119,1.320742213,103.8124537,Opp Lutheran Twrs
41121,1.325544444,103.8135078,S'pore Bible College
41129,1.325429464,103.8139987,Opp S'pore Bible College
41131,1.329736124,103.8145129,Opp The Japanese Assn
41139,1.32963,103.8148553,Aft The Japanese Assn
41141,1.334893066,103.817961,Bef SICC
41149,1.334926421,103.8183966,Opp SICC
41151,1.337999729,103.819318,Aft SICC
41159,1.3387017,103.8198945,Aft Lornie Walk
42011,1.331614521,103.7950306,Sixth Ave Ctr
42019,1.332133908,103.7951923,Opp Sixth Ave Ctr
42021,1.332545377,103.7923706,Aft Maple Ave
42029,1.333251515,103.7920617,Aft Swiss Club Rd
42031,1.333326111,103.789975,The Tessarina
42039,1.334747527,103.7877987,Opp The Nexus
42041,1.334425,103.7868911,The Nexus
42049,1.335803493,103.7846323,Hua Guan Gdn
42051,1.335983056,103.7826361,The Sterling
42059,1.336798961,103.7818015,Aft Rifle Range Rd
42061,1.336871,103.780396,King Albert Pk
42071,1.338762252,103.7769492,Shell Kiosk
42089,1.340070909,103.7794145,Opp Bt Timah Plaza
42091,1.342786369,103.7753903,Opp Bt Timah Shop Ctr
42109,1.34326878,103.7768923,Opp Beauty World Ctr
42111,1.345848056,103.7726286,Aft Ct Bt Timah
42119,1.345825131,103.7733028,Southaven II
42129,1.330161334,103.7951553,Sixth Ave Ville
42131,1.328583358,103.794218,Aft Lantana Ave
42139,1.328778054,103.794444,Ave Villa
42141,1.33608649,103.7781747,Opp King Albert Pk
42149,1.336074269,103.7786231,Aft King Albert Pk
42151,1.34009255,103.7753198,Aft Upp Bt Timah Rd
42159,1.340368053,103.775309,Bef Upp Bt Timah Rd
42161,1.340276692,103.7726463,Blk 18
42169,1.340385757,103.7736613,Opp Blk 19
42171,1.342618333,103.7702636,Signature Pk Condo
42179,1.341978333,103.7710081,Opp Rainbow Gdns
42181,1.343628056,103.7694333,Grand Chateau
42189,1.343788537,103.7696017,Opp Grand Chateau
42191,1.346429444,103.7669639,Bef Bt Batok East Ave 6
42199,1.346076667,103.7676072,Aft Bt Batok East Ave 6
42201,1.339393535,103.763831,Bef Toh Tuck Rise
42209,1.339146614,103.763636,Aft Toh Tuck Rise
42211,1.339742601,103.7655952,Highgate Condo
42219,1.339599167,103.7653539,Opp Highgate Condo
42221,1.339573813,103.7679072,Good Luck Gdn
42229,1.339432222,103.7682739,Aft Toh Tuck Terr
42231,1.340568056,103.7706058,Bef Jlan Jurong Kechil
42239,1.34027048,103.7701606,Aft Jln Jurong Kechil
42241,1.337117501,103.7670849,Aft Eng Kong Pl
42249,1.336966037,103.7669715,Bef Eng Kong Pl
42259,1.341061606,103.7770788,Goh & Goh Bldg
42291,1.337696059,103.7643023,Opp Toh Tuck Cres
42299,1.337370305,103.7644756,Aft Toh Tuck Cres
42301,1.338746767,103.7686695,Opp Hse No. 19
42309,1.33806167,103.7689088,Hse No. 45
42311,1.3386575,103.7602806,Opp Burgundy Hill
42319,1.339153739,103.7604384,Burgundy Hill
43009,1.349993543,103.7510619,Bt Batok Int
43011,1.347423333,103.7711814,Bt Regency
43019,1.348276944,103.7710208,Aft Bt Timah Fire Stn
43021,1.351320078,103.7697953,Aft Old Jurong Rd
43029,1.352185801,103.7700085,Opp The Hillside
43041,1.35582941,103.7684533,Hume Pk Condo
43049,1.35569962,103.7688514,Opp Hume Pk Condo
43051,1.359101482,103.7670504,Opp The Rail Mall
43059,1.359390165,103.7674119,The Rail Mall
43061,1.361067919,103.766782,Standard Chartered Bank
43069,1.362967782,103.7676858,Aft Dairy Farm Rd
43071,1.365113515,103.7669801,Opp Dairy Farm Rd
43081,1.367042778,103.7657278,Opp Assumption Eng Sch
43089,1.367056642,103.7660853,Aft Assumption Eng Sch
43091,1.368632533,103.7647411,Bef Cashew Rd
43099,1.368722051,103.7649864,Assumption Pathway Sch
43109,1.37043731,103.7639108,Opp Min Of Defence
43111,1.372299722,103.7629815,Min Of Defence
43119,1.37337831,103.7630082,Bef Hazel Pk Terr
43121,1.371186693,103.7666933,Aft Cashew Terr
43129,1.371628817,103.7676025,Cashew Pk Condo
43131,1.3733175,103.7700625,Bt Panjang Pr Sch
43139,1.373225305,103.7702931,Opp Bt Panjang Pr Sch
43141,1.344218917,103.7558602,Opp Blk 291A
43149,1.34399483,103.7561003,Blk 291A
43151,1.363636084,103.764891,Opp Glendale Pk Condo
43159,1.364398389,103.7651795,Bef Glendale Pk Condo
43161,1.348831907,103.7576616,Blk 272
43169,1.34931075,103.7578877,Blk 254
43171,1.348596445,103.754605,Blk 229
43179,1.348970783,103.7543035,Blk 231
43181,1.346489444,103.7568172,Keming Pr Sch
43189,1.34694985,103.7568139,Blk 283
43191,1.346384928,103.7593134,Blk 288C
43199,1.346634091,103.7592006,Ch Of St. Mary
43201,1.346945,103.7646464,Opp Autobacs
43209,1.346979974,103.7638425,Autobacs
43211,1.340872778,103.7550792,SBS Transit West District
43219,1.341374621,103.754561,Opp SBS Transit West District
43221,1.348859958,103.7606744,Blk 267
43229,1.349049286,103.7609602,Opp Blk 266
43231,1.353936257,103.760063,Opp The Petals Condo
43239,1.353085764,103.7600284,The Petals Condo
43241,1.355843929,103.7618871,Opp Hillview Apts
43249,1.355650523,103.7620471,Hillview Apts
43251,1.358595344,103.7631966,Hillbrooks
43259,1.357572778,103.7626631,Opp Hillbrooks
43261,1.361455,103.7643675,Opp Hillview Hts
43267,1.361313333,103.7645311,Hillview Hts
43268,1.360369354,103.7642753,Hillington Green Condo
43271,1.362225692,103.7658812,Glendale Pk Condo
43279,1.36203856,103.7659102,Opp Glendale Pk Condo
43289,1.357368815,103.7614412,Hillview Hse
43291,1.35796167,103.7613804,Aft Jln Remaja
43301,1.359002542,103.7620644,Opp Hillbrooks
43309,1.358710241,103.7619941,Hillbrooks
43311,1.3398425,103.7568922,Midview Bldg
43319,1.340004354,103.7569441,Opp Midview Bldg
43321,1.349905996,103.7451088,Opp Blk 144
43329,1.349762042,103.74484,Blk 146
43331,1.348939167,103.7432344,Opp Bt Batok Presby Ch
43341,1.349732698,103.7412503,Princess E Pr Sch
43349,1.349891389,103.7407375,Opp Princess E Pr Sch
43351,1.347079041,103.7410871,Blk 168
43361,1.346942905,103.7433928,Blk 154A
